0xd944, 0x18bc
0xb02, 0xbfaa
0xa749, 0x7a3c
0x30d4, 0xc020
0x1646, 0x1cef
0x3d56, 0x1319
0xe041, 0x2acf
0x835, 0xdcac
0x9dc9, 0xc21c
0x732e, 0xf3c0
0xdc4b, 0x64a6
0xdb6d, 0xde01
0x51c7, 0xeec4
0xda35, 0x55fc
0x96da, 0xba1
0x4e9c, 0x48bc
0x88fc, 0xca20
0x338d, 0x1906
0x253c, 0x7f1b
0xa3b6, 0x33c1
0x2dfa, 0x4af
0xd45e, 0x3493
0x10a9, 0xc4c
0x7a45, 0xfa6f
0x5a48, 0xcab
0xde, 0x7fcb
0xc682, 0xcced
0x9690, 0xe46e
0xbc32, 0xdc54
0xf36f, 0xbcc
0xe100, 0xa15d
0x64b2, 0xd23f
0x203, 0x6ba
0x5bdc, 0xf744
0x46e, 0x24b4
0x80, 0xe6fe
0xab93, 0x8a64
0xf33, 0x1c80
0xf705, 0x543f
0x6a8d, 0x2031
0x1274, 0xd161
0x87c5, 0x57c7
0x6208, 0x5c18
0xfac3, 0x4219
0x7294, 0xc27a
0xb8d0, 0x8e08
0x451a, 0xcb07
0x6df6, 0x68c8
0xacaf, 0x9c86
0xc244, 0x9ba1
0x9579, 0xac49
0xe82f, 0xbe1a
0x6ffe, 0xfcb
0xc9b0, 0xcd97
0x7b4, 0xc7ab
0x804c, 0xd4ec
0xe34d, 0xc5a6
0xcd3, 0x9ad
0x844b, 0x5463
0x4dc5, 0x6215
0x78cb, 0x999d
0x213d, 0x4635
0xd8b1, 0x1854
0x511d, 0x8cae
0x6b56, 0xc065
0x3676, 0x360f
0x588a, 0x48a
0xafe6, 0x39d8
0x335c, 0x3b82
0x3005, 0xd79c
0xd594, 0x1a71
0xf975, 0x797f
0xcfcc, 0xcb17
0x42f3, 0x393f
0xab52, 0x87af
0xd37e, 0xbce3
0x17df, 0x4efc
0xbde7, 0x697f
0x1848, 0x1e18
0xd630, 0xd130
0x5fd9, 0xd8ae
0x24c8, 0xc1fd
0xebc6, 0x750c
0xfbfe, 0x92c4
0xe6bf, 0xa6e1
0x2f2c, 0x5c8
0x493a, 0x6fc6
0xa002, 0x5073
0x1a9b, 0xde90
0xa650, 0xf633
0x2cb7, 0x6b3b
0xe829, 0xf811
0xee7, 0x8e85
0x9ecc, 0x5e2a
0xb2f5, 0x4b1a
0x1ffe, 0xbf70
0xa0c3, 0xe75f
0x6f0b, 0xf0e
0x16f6, 0xad1c
0xecd7, 0x20d5
0x2b2d, 0x13b
0x2420, 0xb6b6
0xff65, 0x756f
0xbaf0, 0x425f
0x1973, 0xbb26
0x1f94, 0xc0a6
0xa2d1, 0xaa2e
0xeae5, 0x897a
0x5f27, 0x9fe6
0xc62, 0xbe2
0x849c, 0xb89
0x725a, 0xda55
0x794e, 0xa960
0xc36, 0xd188
0x7eef, 0xf7ee
